Date,Open,High,Low,Close,Adj Close,Volume,BVPS,Symbol
2021-12-09,115.80000305175781,116.41000366210938,115.23999786376953,115.3499984741211,110.35682678222656,5664700,-6.997,SBUX
2021-12-10,115.81999969482422,117.08999633789062,115.77999877929688,116.7300033569336,111.67709350585938,6110800,-6.997,SBUX
2021-12-13,116.16000366210938,116.83000183105469,115.22000122070312,115.55999755859375,110.5577392578125,6479400,-6.997,SBUX
2021-12-14,114.56999969482422,115.30000305175781,114.02999877929688,114.70999908447266,109.74453735351562,6854600,-6.997,SBUX
2021-12-15,114.80999755859375,115.19999694824219,112.76000213623047,114.68000030517578,109.71582794189453,6902400,-6.997,SBUX
2021-12-16,115.0,115.4000015258789,113.22000122070312,113.58999633789062,108.67301177978516,7544400,-6.997,SBUX
2021-12-17,111.2699966430664,111.80000305175781,108.22000122070312,108.62999725341797,103.9277114868164,13696900,-6.997,SBUX
2021-12-20,107.06999969482422,108.12000274658203,106.61000061035156,108.08999633789062,103.41109466552734,6313700,-6.997,SBUX
2021-12-21,109.0,110.9000015258789,108.87000274658203,110.37000274658203,105.59239196777344,4682200,-6.997,SBUX
2021-12-22,110.19999694824219,111.77999877929688,110.0,111.73999786376953,106.9030990600586,3643300,-6.997,SBUX
2021-12-23,112.2300033569336,112.91000366210938,111.98999786376953,112.37000274658203,107.50582122802734,3359600,-6.997,SBUX
2021-12-27,112.5999984741211,114.37000274658203,112.38999938964844,114.22000122070312,109.27574920654297,3716700,-6.997,SBUX
2021-12-28,114.0,116.27999877929688,113.80999755859375,115.56999969482422,110.56729888916016,4561600,-6.997,SBUX
2021-12-29,115.4000015258789,116.95999908447266,115.30999755859375,116.37999725341797,111.34223937988281,4215300,-6.997,SBUX
2021-12-30,116.37999725341797,117.33999633789062,116.08000183105469,116.23999786376953,111.20829772949219,4068700,-6.997,SBUX
2021-12-31,115.66999816894531,117.4800033569336,115.5999984741211,116.97000122070312,111.90670013427734,3674900,-6.997,SBUX
2022-01-03,116.47000122070312,117.80000305175781,114.77999877929688,116.68000030517578,111.62926483154297,5475700,-6.997,SBUX
2022-01-04,116.9000015258789,117.05000305175781,114.16999816894531,114.23999786376953,109.29486846923828,8367600,-6.997,SBUX
2022-01-05,114.4000015258789,114.95999908447266,110.4000015258789,110.44000244140625,105.65936279296875,8662300,-6.997,SBUX
2022-01-06,110.0,111.87999725341797,109.98999786376953,111.13999938964844,106.32907104492188,6099900,-6.997,SBUX
2022-01-07,108.22000122070312,109.70999908447266,107.4800033569336,107.56999969482422,102.9135971069336,11266400,-6.997,SBUX
2022-01-10,106.62000274658203,107.01000213623047,104.41999816894531,106.02999877929688,101.44026947021484,8499400,-6.997,SBUX
2022-01-11,106.04000091552734,106.16999816894531,103.70999908447266,104.04000091552734,99.53640747070312,13073200,-6.997,SBUX
2022-01-12,104.44000244140625,105.31999969482422,103.68000030517578,103.87000274658203,99.37376403808594,11810500,-6.997,SBUX
2022-01-13,104.1500015258789,104.66999816894531,102.08999633789062,102.4000015258789,97.96739196777344,9818500,-6.997,SBUX
2022-01-14,101.91000366210938,101.91000366210938,99.08999633789062,100.12000274658203,95.78609466552734,13703200,-6.997,SBUX
2022-01-18,99.16999816894531,99.36000061035156,97.51000213623047,97.7300033569336,93.49955749511719,11396000,-6.997,SBUX
2022-01-19,97.94000244140625,98.38999938964844,96.77999877929688,96.87000274658203,92.6767807006836,10856800,-6.997,SBUX
2022-01-20,97.48999786376953,98.94000244140625,95.58999633789062,95.72000122070312,91.57654571533203,20311500,-6.997,SBUX
2022-01-21,95.9000015258789,98.41000366210938,95.47000122070312,96.30999755859375,92.1410140991211,13438300,-6.997,SBUX
2022-01-24,94.75,98.3499984741211,94.41000366210938,98.0999984741211,93.85353088378906,17201400,-6.997,SBUX
2022-01-25,96.66999816894531,98.08999633789062,95.12999725341797,97.01000213623047,92.81071472167969,12368500,-6.997,SBUX
2022-01-26,97.69999694824219,98.63999938964844,94.9000015258789,95.58000183105469,91.44261169433594,11863000,-6.997,SBUX
2022-01-27,96.62000274658203,97.16999816894531,95.05999755859375,95.31999969482422,91.1938705444336,7322200,-6.997,SBUX
2022-01-28,95.05999755859375,97.22000122070312,93.79000091552734,97.20999908447266,93.00205993652344,8345400,-6.997,SBUX
2022-01-31,97.02999877929688,98.4000015258789,96.41999816894531,98.31999969482422,94.06401062011719,8807700,-6.997,SBUX
2022-02-01,98.41999816894531,99.02999877929688,96.80000305175781,98.76000213623047,94.4849624633789,11601900,-6.997,SBUX
2022-02-02,95.80000305175781,99.1500015258789,94.73999786376953,97.7300033569336,93.49955749511719,15578800,-6.997,SBUX
